query,intent
달걀 있어?.,0
달걀 있냐?.,0
달걀 있나?.,0
달걀 있어요?.,0
달걀 있나요?.,0
달걀 있습니까?.,0
달걀 있습니까요?.,0
달걀  몇개?.,0
달걀 몇개 있어?.,0
달걀 몇개 있냐?.,0
달걀 몇개 있나?.,0
달걀 몇개 있어요?.,0
달걀 몇개 있나요?.,0
달걀 몇개 있습니까?.,0
달걀 몇개 있습니까요?.,0
달걀 몇개나 있어?.,0
달걀 몇개나 있냐?.,0
달걀 몇개나 있나?.,0
달걀 몇개나 있어요?.,0
달걀 몇개나 있나요?.,0
달걀 몇개나 있습니까?.,0
달걀 몇개나 있습니까요?.,0
달걀 남아있어?.,0
달걀 남아있냐?.,0
달걀 남아있나?.,0
달걀 남아있어요?.,0
달걀 남아있나요?.,0
달걀 남아있습니까?.,0
달걀 남아있습니까요?.,0
달걀  몇개 남아?.,0
달걀 몇개 남아있어?.,0
달걀 몇개 남아있냐?.,0
달걀 몇개 남아있나?.,0
달걀 몇개 남아있어요?.,0
달걀 몇개 남아있나요?.,0
달걀 몇개 남아있습니까?.,0
달걀 몇개 남아있습니까요?.,0
달걀 몇개나 남아있어?.,0
달걀 몇개나 남아있냐?.,0
달걀 몇개나 남아있어요?.,0
달걀 몇개나 남아있나요?.,0
달걀 몇개나 남아있습니까?.,0
달걀 몇개나 남아있습니까요?.,0
지금 달걀 있어?.,0
지금 달걀 있냐?.,0
지금 달걀 있나?.,0
지금 달걀 있어요?.,0
지금 달걀 있나요?.,0
지금 달걀 있습니까?.,0
지금 달걀 있습니까요?.,0
지금 달걀  몇개?.,0
지금 달걀 몇개 있어?.,0
지금 달걀 몇개 있냐?.,0
지금 달걀 몇개 있나?.,0
지금 달걀 몇개 있어요?.,0
지금 달걀 몇개 있나요?.,0
지금 달걀 몇개 있습니까?.,0
지금 달걀 몇개 있습니까요?.,0
지금 달걀 몇개나 있어?.,0
지금 달걀 몇개나 있냐?.,0
지금 달걀 몇개나 있나?.,0
지금 달걀 몇개나 있어요?.,0
지금 달걀 몇개나 있나요?.,0
지금 달걀 몇개나 있습니까?.,0
지금 달걀 몇개나 있습니까요?.,0
지금 달걀 남아있어?.,0
지금 달걀 남아있냐?.,0
지금 달걀 남아있나?.,0
지금 달걀 남아있어요?.,0
지금 달걀 남아있나요?.,0
지금 달걀 남아있습니까?.,0
지금 달걀 남아있습니까요?.,0
지금 달걀  몇개 남아?.,0
지금 달걀 몇개 남아있어?.,0
지금 달걀 몇개 남아있냐?.,0
지금 달걀 몇개 남아있나?.,0
지금 달걀 몇개 남아있어요?.,0
지금 달걀 몇개 남아있나요?.,0
지금 달걀 몇개 남아있습니까?.,0
지금 달걀 몇개 남아있습니까요?.,0
지금 달걀 몇개나 남아있어?.,0
지금 달걀 몇개나 남아있냐?.,0
지금 달걀 몇개나 남아있어요?.,0
지금 달걀 몇개나 남아있나요?.,0
지금 달걀 몇개나 남아있습니까?.,0
지금 달걀 몇개나 남아있습니까요?.,0
현재 달걀 있어?.,0
현재 달걀 있냐?.,0
현재 달걀 있나?.,0
현재 달걀 있어요?.,0
현재 달걀 있나요?.,0
현재 달걀 있습니까?.,0
현재 달걀 있습니까요?.,0
현재 달걀  몇개?.,0
현재 달걀 몇개 있어?.,0
현재 달걀 몇개 있냐?.,0
현재 달걀 몇개 있나?.,0
